report_id,report_text,report_type,date,location,activity,hazard,barrier_failure,life_saving_rule,sif_potential,risk_score,risk_level
R0024,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-01-08,Site B,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0025,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_CONDITION,2026-03-22,Maintenance Yard,Confined Space,CONFINED_SPACE,,Confined Space,0,62,HIGH
R0026,Electrical panel was properly closed and de-energized before inspection.,INCIDENT,2026-04-18,Well Pad 12,Electrical,ELECTRICAL,,Electrical,0,55,MEDIUM
R0027,Worker was not wearing safety glasses in the workshop area.,NEAR_MISS,2026-08-17,Maintenance Yard,Ppe,PPE,,Permit to Work,0,37,MEDIUM
R0028,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-06-01,Well Pad 12,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0029,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-01-08,Site B,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0030,Technician performed vessel entry without gas testing during maintenance shutdown.,INCIDENT,2026-04-09,Maintenance Yard,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0031,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",INCIDENT,2026-08-08,Maintenance Yard,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0032,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_ACT,2026-07-12,Loading Terminal,Vehicle,VEHICLE,,Driving,0,47,MEDIUM
R0033,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_ACT,2026-01-13,Pipeline Section 7,Vehicle,VEHICLE,,Driving,0,50,MEDIUM
R0034,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-08-05,Loading Terminal,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0035,Worker was seen working at height with harness properly secured and scaffold inspected.,UNSAFE_CONDITION,2026-02-15,Site B,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,65,HIGH
R0036,Technician performed vessel entry without gas testing during maintenance shutdown.,UNSAFE_ACT,2026-02-25,Well Pad 12,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0037,Worker was seen working at height with harness properly secured and scaffold inspected.,INCIDENT,2026-04-28,Loading Terminal,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,67,HIGH
R0038,Technician performed vessel entry without gas testing during maintenance shutdown.,UNSAFE_ACT,2026-07-09,Maintenance Yard,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0039,Hot work permit and fire watch were in place during welding activity.,INCIDENT,2026-03-07,Tank Farm 3,Hot Work,HOT_WORK,,Hot Work,0,63,HIGH
R0040,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",INCIDENT,2026-01-24,Pipeline Section 7,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0041,Technician performed vessel entry without gas testing during maintenance shutdown.,NEAR_MISS,2026-03-02,Site B,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0042,Worker was seen working at height with harness properly secured and scaffold inspected.,UNSAFE_ACT,2026-04-13,Site B,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,64,HIGH
R0043,Gas leak was detected near an ignition source with flammable material nearby.,INCIDENT,2026-01-20,Site B,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0044,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,NEAR_MISS,2026-05-07,Pipeline Section 7,Vehicle,VEHICLE,,Driving,0,62,HIGH
R0045,Maintenance was carried out after proper lockout tagout isolation was verified.,UNSAFE_CONDITION,2026-05-15,Pipeline Section 7,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,64,HIGH
R0046,Cluttered walkway with minor trip hazard was reported near the warehouse.,INCIDENT,2026-02-03,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,22,LOW
R0047,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-02-08,Pipeline Section 7,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0048,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-01-22,Tank Farm 3,Hot Work,HOT_WORK,,Hot Work,0,58,MEDIUM
R0049,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-02-04,Site C - Refinery,Chemical,CHEMICAL,,Chemical Exposure,0,46,MEDIUM
R0050,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,UNSAFE_ACT,2026-06-07,Tank Farm 3,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0051,Electrical panel was left open with exposed live wire near walking path.,UNSAFE_ACT,2026-02-21,Loading Terminal,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0052,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,NEAR_MISS,2026-03-21,Tank Farm 3,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0053,Worker was seen working at height with harness properly secured and scaffold inspected.,INCIDENT,2026-01-04,Site B,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,69,HIGH
R0054,Worker was not wearing safety glasses in the workshop area.,UNSAFE_ACT,2026-06-19,Site C - Refinery,Ppe,PPE,,Permit to Work,0,37,MEDIUM
R0055,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,NEAR_MISS,2026-06-26,Site A,Vehicle,VEHICLE,,Driving,0,45,MEDIUM
R0056,Exclusion zone was maintained and no personnel were in line of fire during the lift.,UNSAFE_CONDITION,2026-02-12,Loading Terminal,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,56,MEDIUM
R0057,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_CONDITION,2026-03-14,Site A,Fire,FIRE,,Fire / Explosion,0,59,MEDIUM
R0058,Worker was seen working at height with harness properly secured and scaffold inspected.,UNSAFE_CONDITION,2026-05-06,Site B,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,65,HIGH
R0059,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,UNSAFE_ACT,2026-04-27,Maintenance Yard,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0060,Exclusion zone was maintained and no personnel were in line of fire during the lift.,UNSAFE_CONDITION,2026-01-22,Well Pad 12,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,50,MEDIUM
R0061,Vehicle reversed near pedestrian walkway without a spotter and narrowly missed a worker.,UNSAFE_ACT,2026-05-12,Loading Terminal,Vehicle,VEHICLE,Traffic Segregation / Spotter,Driving,1,100,CRITICAL
R0062,Chemical handling was performed with full PPE and respirator worn as required.,UNSAFE_ACT,2026-02-09,Site C - Refinery,Chemical,CHEMICAL,,Chemical Exposure,0,56,MEDIUM
R0063,Gas leak was detected near an ignition source with flammable material nearby.,UNSAFE_ACT,2026-07-12,Pipeline Section 7,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0064,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_ACT,2026-07-19,Well Pad 12,Vehicle,VEHICLE,,Driving,0,60,MEDIUM
R0065,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,UNSAFE_ACT,2026-04-12,Loading Terminal,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0066,Confined space entry was performed with atmospheric testing completed and standby person present.,NEAR_MISS,2026-02-24,Tank Farm 3,Confined Space,CONFINED_SPACE,,Confined Space,0,69,HIGH
R0067,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-06-13,Tank Farm 3,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0068,Electrical panel was properly closed and de-energized before inspection.,INCIDENT,2026-07-22,Site C - Refinery,Electrical,ELECTRICAL,,Electrical,0,54,MEDIUM
R0069,Minor gas odor was reported and area was isolated with no ignition sources present.,INCIDENT,2026-01-10,Tank Farm 3,Fire,FIRE,,Fire / Explosion,0,67,HIGH
R0070,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",INCIDENT,2026-06-15,Maintenance Yard,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0071,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",INCIDENT,2026-08-26,Site C - Refinery,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0072,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-02-27,Well Pad 12,Chemical,CHEMICAL,,Chemical Exposure,0,48,MEDIUM
R0073,Chemical handling was performed with full PPE and respirator worn as required.,UNSAFE_CONDITION,2026-03-01,Site A,Chemical,CHEMICAL,,Chemical Exposure,0,50,MEDIUM
R0074,Maintenance was carried out after proper lockout tagout isolation was verified.,UNSAFE_ACT,2026-08-14,Well Pad 12,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,70,HIGH
R0075,Worker was not wearing safety glasses in the workshop area.,INCIDENT,2026-04-05,Site A,Ppe,PPE,,Permit to Work,0,40,MEDIUM
R0076,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_CONDITION,2026-03-26,Maintenance Yard,Housekeeping,HOUSEKEEPING,,Permit to Work,0,28,LOW
R0077,Technician performed vessel entry without gas testing during maintenance shutdown.,UNSAFE_ACT,2026-08-05,Maintenance Yard,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0078,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-08-20,Loading Terminal,Chemical,CHEMICAL,,Chemical Exposure,0,59,MEDIUM
R0079,Electrical panel was properly closed and de-energized before inspection.,INCIDENT,2026-08-09,Well Pad 12,Electrical,ELECTRICAL,,Electrical,0,58,MEDIUM
R0080,Worker was exposed to chemical spill without wearing respirator or protective equipment.,NEAR_MISS,2026-04-09,Maintenance Yard,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0081,Confined space entry was performed with atmospheric testing completed and standby person present.,NEAR_MISS,2026-06-11,Site B,Confined Space,CONFINED_SPACE,,Confined Space,0,61,HIGH
R0082,Improper scaffolding was noted with no guardrail installed at elevated platform.,NEAR_MISS,2026-03-23,Well Pad 12,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0083,Confined space entry was performed with atmospheric testing completed and standby person present.,NEAR_MISS,2026-08-14,Site A,Confined Space,CONFINED_SPACE,,Confined Space,0,66,HIGH
R0084,"Technician worked on equipment without lockout tagout isolation performed, energized equipment nearby.",INCIDENT,2026-01-28,Loading Terminal,Energy Isolation,ENERGY_ISOLATION,Lockout/Tagout,Energy Isolation,1,100,CRITICAL
R0085,Lifting operation followed load chart with rigging inspected prior to lift.,NEAR_MISS,2026-07-28,Loading Terminal,Lifting,LIFTING,,Lifting Operations,0,54,MEDIUM
R0086,Electrical panel was properly closed and de-energized before inspection.,UNSAFE_CONDITION,2026-08-08,Tank Farm 3,Electrical,ELECTRICAL,,Electrical,0,66,HIGH
R0087,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,INCIDENT,2026-06-22,Loading Terminal,Vehicle,VEHICLE,,Driving,0,50,MEDIUM
R0088,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,UNSAFE_CONDITION,2026-01-13,Site A,Housekeeping,HOUSEKEEPING,,Permit to Work,0,30,LOW
R0089,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_CONDITION,2026-08-06,Site A,Confined Space,CONFINED_SPACE,,Confined Space,0,70,HIGH
R0090,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,UNSAFE_ACT,2026-08-11,Pipeline Section 7,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0091,Cluttered walkway with minor trip hazard was reported near the warehouse.,INCIDENT,2026-05-27,Site B,Housekeeping,HOUSEKEEPING,,Permit to Work,0,31,MEDIUM
R0092,Lifting operation followed load chart with rigging inspected prior to lift.,UNSAFE_ACT,2026-06-08,Site B,Lifting,LIFTING,,Lifting Operations,0,57,MEDIUM
R0093,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_ACT,2026-04-07,Site A,Housekeeping,HOUSEKEEPING,,Permit to Work,0,31,MEDIUM
R0094,Minor gas odor was reported and area was isolated with no ignition sources present.,UNSAFE_CONDITION,2026-08-22,Site B,Fire,FIRE,,Fire / Explosion,0,59,MEDIUM
R0095,Gas leak was detected near an ignition source with flammable material nearby.,INCIDENT,2026-05-25,Pipeline Section 7,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0096,Worker was seen working at height with harness properly secured and scaffold inspected.,UNSAFE_ACT,2026-03-10,Site B,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,72,HIGH
R0097,Gas leak was detected near an ignition source with flammable material nearby.,INCIDENT,2026-07-13,Well Pad 12,Fire,FIRE,Ignition Control,Fire / Explosion,1,100,CRITICAL
R0098,Confined space entry was performed with atmospheric testing completed and standby person present.,UNSAFE_CONDITION,2026-02-23,Tank Farm 3,Confined Space,CONFINED_SPACE,,Confined Space,0,73,HIGH
R0099,Chemical handling was performed with full PPE and respirator worn as required.,UNSAFE_ACT,2026-06-18,Loading Terminal,Chemical,CHEMICAL,,Chemical Exposure,0,53,MEDIUM
R0100,Chemical handling was performed with full PPE and respirator worn as required.,NEAR_MISS,2026-01-28,Loading Terminal,Chemical,CHEMICAL,,Chemical Exposure,0,49,MEDIUM
R0101,Lifting operation followed load chart with rigging inspected prior to lift.,NEAR_MISS,2026-08-23,Site C - Refinery,Lifting,LIFTING,,Lifting Operations,0,56,MEDIUM
R0102,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,NEAR_MISS,2026-08-15,Loading Terminal,Vehicle,VEHICLE,,Driving,0,53,MEDIUM
R0103,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,NEAR_MISS,2026-04-27,Site B,Housekeeping,HOUSEKEEPING,,Permit to Work,0,34,MEDIUM
R0104,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,NEAR_MISS,2026-07-11,Site A,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0105,Lifting operation followed load chart with rigging inspected prior to lift.,INCIDENT,2026-04-12,Tank Farm 3,Lifting,LIFTING,,Lifting Operations,0,56,MEDIUM
R0106,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",INCIDENT,2026-05-18,Site A,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0107,Electrical panel was left open with exposed live wire near walking path.,UNSAFE_ACT,2026-07-16,Well Pad 12,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0108,Worker was not wearing safety glasses in the workshop area.,INCIDENT,2026-08-26,Site A,Ppe,PPE,,Permit to Work,0,44,MEDIUM
R0109,Confined space entry was performed with atmospheric testing completed and standby person present.,INCIDENT,2026-04-10,Pipeline Section 7,Confined Space,CONFINED_SPACE,,Confined Space,0,61,HIGH
R0110,Lifting operation followed load chart with rigging inspected prior to lift.,NEAR_MISS,2026-07-24,Pipeline Section 7,Lifting,LIFTING,,Lifting Operations,0,65,HIGH
R0111,Exclusion zone was maintained and no personnel were in line of fire during the lift.,NEAR_MISS,2026-05-08,Site B,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,54,MEDIUM
R0112,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,UNSAFE_ACT,2026-03-07,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,29,LOW
R0113,Oil spill was observed near the maintenance area. Area was barricaded and cleaned immediately.,NEAR_MISS,2026-02-27,Well Pad 12,Housekeeping,HOUSEKEEPING,,Permit to Work,0,32,MEDIUM
R0114,Hot work permit and fire watch were in place during welding activity.,UNSAFE_CONDITION,2026-05-01,Site C - Refinery,Hot Work,HOT_WORK,,Hot Work,0,57,MEDIUM
R0115,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,INCIDENT,2026-05-23,Site C - Refinery,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0116,Worker was exposed to chemical spill without wearing respirator or protective equipment.,UNSAFE_ACT,2026-05-16,Maintenance Yard,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0117,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",UNSAFE_ACT,2026-05-28,Maintenance Yard,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0118,Worker was observed working at height without a safety harness on the scaffold.,NEAR_MISS,2026-02-19,Site A,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0119,Improper scaffolding was noted with no guardrail installed at elevated platform.,NEAR_MISS,2026-02-08,Site B,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0120,Electrical panel was properly closed and de-energized before inspection.,UNSAFE_CONDITION,2026-07-15,Maintenance Yard,Electrical,ELECTRICAL,,Electrical,0,64,HIGH
R0121,Hot work permit and fire watch were in place during welding activity.,NEAR_MISS,2026-01-20,Site B,Hot Work,HOT_WORK,,Hot Work,0,64,HIGH
R0122,Cluttered walkway with minor trip hazard was reported near the warehouse.,UNSAFE_CONDITION,2026-05-22,Site B,Housekeeping,HOUSEKEEPING,,Permit to Work,0,34,MEDIUM
R0123,Worker was seen working at height with harness properly secured and scaffold inspected.,UNSAFE_ACT,2026-03-01,Loading Terminal,Working At Height,WORKING_AT_HEIGHT,,Working at Height,0,59,MEDIUM
R0124,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",NEAR_MISS,2026-01-08,Tank Farm 3,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0125,Worker was not wearing safety glasses in the workshop area.,UNSAFE_ACT,2026-04-09,Well Pad 12,Ppe,PPE,,Permit to Work,0,38,MEDIUM
R0126,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,UNSAFE_CONDITION,2026-03-09,Site C - Refinery,Vehicle,VEHICLE,,Driving,0,52,MEDIUM
R0127,Confined space entry was performed with atmospheric testing completed and standby person present.,NEAR_MISS,2026-05-15,Site B,Confined Space,CONFINED_SPACE,,Confined Space,0,56,MEDIUM
R0128,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",NEAR_MISS,2026-08-15,Site B,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0129,Minor gas odor was reported and area was isolated with no ignition sources present.,NEAR_MISS,2026-05-01,Site B,Fire,FIRE,,Fire / Explosion,0,60,MEDIUM
R0130,Maintenance was carried out after proper lockout tagout isolation was verified.,UNSAFE_ACT,2026-05-19,Site A,Energy Isolation,ENERGY_ISOLATION,,Energy Isolation,0,73,HIGH
R0131,Cluttered walkway with minor trip hazard was reported near the warehouse.,INCIDENT,2026-05-06,Loading Terminal,Housekeeping,HOUSEKEEPING,,Permit to Work,0,30,LOW
R0132,Worker was exposed to chemical spill without wearing respirator or protective equipment.,NEAR_MISS,2026-06-14,Pipeline Section 7,Chemical,CHEMICAL,PPE / Respiratory Protection,Chemical Exposure,1,100,CRITICAL
R0133,"Worker was standing under a suspended load during lifting operation, no exclusion zone maintained.",UNSAFE_ACT,2026-06-14,Maintenance Yard,Line Of Fire,LINE_OF_FIRE,Exclusion Zone,Line of Fire,1,100,CRITICAL
R0134,Hot work permit and fire watch were in place during welding activity.,UNSAFE_ACT,2026-08-03,Pipeline Section 7,Hot Work,HOT_WORK,,Hot Work,0,65,HIGH
R0135,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,NEAR_MISS,2026-01-22,Maintenance Yard,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0136,Vehicle reversing was conducted with a spotter present and pedestrian path segregated.,NEAR_MISS,2026-08-21,Maintenance Yard,Vehicle,VEHICLE,,Driving,0,46,MEDIUM
R0137,Cluttered walkway with minor trip hazard was reported near the warehouse.,NEAR_MISS,2026-03-10,Maintenance Yard,Housekeeping,HOUSEKEEPING,,Permit to Work,0,24,LOW
R0138,Worker was not wearing safety glasses in the workshop area.,UNSAFE_ACT,2026-04-23,Site C - Refinery,Ppe,PPE,,Permit to Work,0,35,MEDIUM
R0139,Hot work permit and fire watch were in place during welding activity.,INCIDENT,2026-02-08,Site B,Hot Work,HOT_WORK,,Hot Work,0,57,MEDIUM
R0140,"Crane lifting operation proceeded with a sling that was not inspected, rigging appeared worn.",UNSAFE_ACT,2026-08-23,Tank Farm 3,Lifting,LIFTING,Rigging Inspection,Lifting Operations,1,100,CRITICAL
R0141,Electrical panel was left open with exposed live wire near walking path.,NEAR_MISS,2026-08-08,Maintenance Yard,Electrical,ELECTRICAL,Insulation / De-energization,Electrical,1,100,CRITICAL
R0142,Electrical panel was properly closed and de-energized before inspection.,UNSAFE_CONDITION,2026-03-28,Site B,Electrical,ELECTRICAL,,Electrical,0,57,MEDIUM
R0143,Hot work welding was performed without a fire watch permit in a flammable atmosphere area.,INCIDENT,2026-05-27,Site A,Hot Work,HOT_WORK,Fire Watch,Hot Work,1,100,CRITICAL
R0144,Hot work permit and fire watch were in place during welding activity.,INCIDENT,2026-03-15,Maintenance Yard,Hot Work,HOT_WORK,,Hot Work,0,62,HIGH
R0145,Exclusion zone was maintained and no personnel were in line of fire during the lift.,INCIDENT,2026-08-11,Well Pad 12,Line Of Fire,LINE_OF_FIRE,,Line of Fire,0,56,MEDIUM
R0146,Worker was not wearing safety glasses in the workshop area.,INCIDENT,2026-04-28,Loading Terminal,Ppe,PPE,,Permit to Work,0,39,MEDIUM
R0147,Technician performed vessel entry without gas testing during maintenance shutdown.,INCIDENT,2026-07-13,Site C - Refinery,Confined Space,CONFINED_SPACE,Atmospheric Testing;Standby Person,Confined Space,1,100,CRITICAL
R0148,Lifting operation followed load chart with rigging inspected prior to lift.,NEAR_MISS,2026-02-28,Maintenance Yard,Lifting,LIFTING,,Lifting Operations,0,51,MEDIUM
R0149,Worker was observed working at height without a safety harness on the scaffold.,UNSAFE_ACT,2026-03-14,Site C - Refinery,Working At Height,WORKING_AT_HEIGHT,Fall Protection;Scaffold Inspection,Working at Height,1,100,CRITICAL
R0150,Confined space entry was performed with atmospheric testing completed and standby person present.,NEAR_MISS,2026-07-21,Site B,Confined Space,CONFINED_SPACE,,Confined Space,0,65,HIGH
